Metric,Climate,Group,Parameter,Class,Estimate,Est.Error,Q2.5,Q97.5
Species richness,Temperature difference,Latitude,Intercept,599-856,1.723386,0.09774394,1.5179922,1.905399
Species richness,Temperature difference,Latitude,Intercept,856-1100,1.790619,0.05102925,1.6913194,1.889911
Species richness,Temperature difference,Latitude,Intercept,1100-1320,1.918664,0.04225673,1.8378952,2.002147
Species richness,Temperature difference,Latitude,Intercept,1320-1500,1.862891,0.04581182,1.7717803,1.950364
Species richness,Temperature difference,Latitude,Intercept,1500-1670,1.741843,0.05218776,1.6453705,1.8501
Species richness,Temperature difference,Latitude,Intercept,1670-1870,1.466771,0.05265808,1.3609533,1.568025
Species richness,Temperature difference,Latitude,Intercept,1870-2090,1.308937,0.06592547,1.176832,1.432681
Species richness,Temperature difference,Latitude,Intercept,2090-2330,1.341587,0.08038887,1.1861756,1.505547
Species richness,Temperature difference,Latitude,Intercept,2330-2780,1.146337,0.1181301,0.9112937,1.377436
Species richness,Temperature difference,Latitude,Intercept,2780-3740,1.059307,0.17114795,0.7116134,1.382764
Species richness,Temperature difference,Latitude,B1,0-258,-2.42844181,2.870917,-8.163634,3.4884985
Species richness,Temperature difference,Latitude,B1,258-599,-4.05875656,2.024033,-8.151229,-0.3115778
Species richness,Temperature difference,Latitude,B1,599-856,0.04906115,2.136974,-3.852744,4.4606639
Species richness,Temperature difference,Latitude,B1,856-1100,-1.30107946,1.466992,-4.284514,1.5289745
Species richness,Temperature difference,Latitude,B1,1100-1320,2.64366039,2.742908,-2.427834,8.1250633
Species richness,Temperature difference,Latitude,B1,1320-1500,0.64934906,2.658651,-5.017406,5.5594731
Species richness,Temperature difference,Latitude,B1,1500-1670,2.53863088,3.299258,-2.326236,10.4526556
Species richness,Temperature difference,Latitude,B1,1670-1870,-1.11828707,2.654095,-6.696841,3.7884471
Species richness,Temperature difference,Latitude,B1,1870-2090,0.58040793,2.950808,-5.131614,6.5238035
Species richness,Temperature difference,Latitude,B1,2090-2330,-1.17456185,3.085565,-7.165376,5.2888594
Species richness,Temperature difference,Latitude,B1,2330-2780,-0.10002324,3.686311,-7.324692,7.7299841
Species richness,Temperature difference,Latitude,B1,2780-3740,1.0791998,4.350604,-7.565431,10.0974982
Species richness,Temperature difference,Latitude,B2,0-258,-1.4665394,2.219378,-5.793441,2.9516428
Species richness,Temperature difference,Latitude,B2,258-599,0.3260455,1.552733,-2.695343,3.3702943
Species richness,Temperature difference,Latitude,B2,599-856,-2.454275,1.610945,-5.567207,0.6521502
Species richness,Temperature difference,Latitude,B2,856-1100,-2.840292,2.086363,-7.070928,1.1915356
Species richness,Temperature difference,Latitude,B2,1100-1320,-10.8019496,3.179183,-17.117486,-4.7112179
Species richness,Temperature difference,Latitude,B2,1320-1500,-9.544135,3.223152,-16.49332,-3.9247705
Species richness,Temperature difference,Latitude,B2,1500-1670,-5.6824452,3.398661,-11.544134,2.1638928
Species richness,Temperature difference,Latitude,B2,1670-1870,-1.9634852,2.805398,-7.639304,3.4670446
Species richness,Temperature difference,Latitude,B2,1870-2090,-3.7749169,3.38789,-10.782992,2.6655427
Species richness,Temperature difference,Latitude,B2,2090-2330,1.2033005,3.762819,-5.511715,9.2297975
Species richness,Temperature difference,Latitude,B2,2330-2780,-0.2797118,4.454825,-8.653917,9.0428876
Species richness,Temperature difference,Latitude,B2,2780-3740,-2.3197895,5.902828,-13.508118,10.4150337
Mean temperature,Elevation,Elevation,Intercept,36.6-39.3,1.8396599,0.19146935,1.4182814,2.1719031
Mean temperature,Elevation,Elevation,Intercept,39.3-41.2,1.645401,0.17090965,1.2691584,1.9415584
Mean temperature,Elevation,Elevation,Intercept,41.2-43.2,1.3851506,0.05746856,1.2697933,1.4987764
