Metric,Climate,Group,Parameter,Class,Estimate,Est.Error,Q2.5,Q97.5
Temperature difference,Latitude,Latitude,B1,1320-1500,33.240764,1.481333,30.341303,36.12921
Temperature difference,Latitude,Latitude,B1,1500-1670,54.151099,3.759531,46.931115,61.54495
Temperature difference,Latitude,Latitude,B1,1670-1870,55.299919,3.445211,48.678859,62.19506
Temperature difference,Latitude,Latitude,B1,1870-2090,37.300673,3.326943,30.783962,43.91542
Temperature difference,Latitude,Latitude,B1,2090-2330,25.058548,4.130824,16.986985,33.16441
Temperature difference,Latitude,Latitude,B1,2330-2780,22.740614,10.393996,2.031939,42.30651
Temperature difference,Latitude,Latitude,B1,2780-3740,11.720093,18.118787,-24.848498,46.35008
Temperature difference,Latitude,Latitude,B2,0-258,66.3306695,13.661451,39.2874778,93.25648
Temperature difference,Latitude,Latitude,B2,258-599,10.6316183,2.182233,6.3314921,14.9326302
Temperature difference,Latitude,Latitude,B2,599-856,8.5991895,1.960982,4.7832148,12.4429458
Temperature difference,Latitude,Latitude,B2,856-1100,-6.5270451,1.646695,-9.6611671,-3.3538057
Temperature difference,Latitude,Latitude,B2,1100-1320,-6.8934277,1.740012,-10.3624816,-3.4824617
Temperature difference,Latitude,Latitude,B2,1320-1500,-4.029935,1.714765,-7.3641103,-0.7017969
Temperature difference,Latitude,Latitude,B2,1500-1670,31.4648209,4.798136,22.3345884,40.7420929
Temperature difference,Latitude,Latitude,B2,1670-1870,40.3092272,3.944165,32.708935,48.1038239
Temperature difference,Latitude,Latitude,B2,1870-2090,18.0244501,2.971256,12.2856918,23.9904145
Temperature difference,Latitude,Latitude,B2,2090-2330,5.5884776,3.345518,-0.9750374,12.076935
Temperature difference,Latitude,Latitude,B2,2330-2780,4.5815328,7.455242,-10.1217493,18.8651254
Temperature difference,Latitude,Latitude,B2,2780-3740,0.2994643,10.91778,-21.0717543,21.2635876
