Sp,Taxa,Level,Order,Length,Length.ref,Length.taxa,Feed.ord,Full
Leptodiaptomus.cuauhtemoci,Leptodiaptomus cuauhtemoci,Species,Calanoida,1.15,Edmondson.1959,Diaptomus cuauhtemoci,3,"Leptodiaptomus cuauhtemoci (Osorio-Tafall, 1941)"
Leptodiaptomus.novamexicanus,Leptodiaptomus novamexicanus,Species,Calanoida,1.49,Edmondson.1959,Diaptomus novamexicanus,3,"Leptodiaptomus novamexicanus (Herrick, 1895)"
Leptodiaptomus.nudus,Leptodiaptomus nudus,Species,Calanoida,1.16,Loewen.2016,Leptodiaptomus nudus,3,"Leptodiaptomus nudus (Lilljeborg in Guerne & Richard, 1889)"
Leptodiaptomus.sicilis,Leptodiaptomus sicilis,Species,Calanoida,1.05,Loewen.2016,Leptodiaptomus sicilis,3,"Leptodiaptomus sicilis (Forbes, 1882)"
Leptodiaptomus.siciloides,Leptodiaptomus siciloides,Species,Calanoida,1.15,Edmondson.1959,Diaptomus siciloides,3,"Leptodiaptomus siciloides (Lilljeborg in Guerne & Richard, 1889)"
Leptodiaptomus.signicauda,Leptodiaptomus signicauda,Species,Calanoida,1.15,Edmondson.1959,Diaptomus signicauda,3,"Leptodiaptomus signicauda (Lilljeborg in Guerne & Richard, 1889)"
Leptodiaptomus.tyrrelli,Leptodiaptomus tyrrelli,Species,Calanoida,1.24,Loewen.2016,Leptodiaptomus tyrrelli,3,"Leptodiaptomus tyrrelli (Poppe, 1888)"
Onychodiaptomus.sanguineus,Onychodiaptomus sanguineus,Species,Calanoida,1.95,MacLennan.2016,Onychodiaptomus sanguineus,3,"Onychodiaptomus sanguineus (Forbes, 1876)"
Senecella.calanoides,Senecella calanoides,Species,Calanoida,2.68,Edmondson.1959,Senecella calanoides,3,"Senecella calanoides (Juday, 1923)"
Skistodiaptomus.oregonensis,Skistodiaptomus oregonensis,Species,Calanoida,1.2,Hébert.2016; CIEE.2012,Skistodiaptomus oregonensis,3,"Skistodiaptomus oregonensis (Lilljeborg, 1889)"
Skistodiaptomus.pallidus,Skistodiaptomus pallidus,Species,Calanoida,1.2,Hébert.2016; CIEE.2012,Skistodiaptomus pallidus,3,"Skistodiaptomus pallidus (Herrick, 1879)"
Acanthocyclops.capillatus,Acanthocyclops capillatus,Species,Cyclopoida,2,Edmondson.1959,Cyclops capillatus,4,"Acanthocyclops capillatus (Sars, 1863)"
Acanthocyclops.vernalis,Acanthocyclops vernalis,Species,Cyclopoida,0.82,Loewen.2016,Acanthocyclops vernalis,4,"Acanthocyclops vernalis (Fischer, 1853)"
Cyclops,Cyclops,Genus,Cyclopoida,1.59,Genus mean ,Genus mean,4,"Cyclops (O.F. Müller, 1785)"
Cyclops.scutifer,Cyclops scutifer,Species,Cyclopoida,1.5,Hébert.2016; CIEE.2012,Cyclops scutifer,4,"Cyclops scutifer (Sars, 1863)"
Diacyclops.navus,Diacyclops navus,Species,Cyclopoida,0.72,Loewen.2016,Diacyclops navus,4,"Diacyclops navus (Herrick, 1882)"
Diacyclops.thomasi,Diacyclops thomasi,Species,Cyclopoida,0.92,Hébert.2016; CIEE.2012,Diacyclops bicuspidatus-thomasi,4,"Diacyclops thomasi (Forbes, 1882)"
Ectocyclops,Ectocyclops,Genus,Cyclopoida,1.08,Edmondson.1959,Ectocyclops phaleratus,4,"Ectocyclops (Brady, 1904)"
Epischura.nevadensis,Epischura nevadensis,Species,Calanoida,1.75,Hébert.2016; CIEE.2012,Epischura nevadensis,4,"Epischura nevadensis (Lilljeborg, 1889)"
Eucyclops.agilis,Eucyclops agilis,Species,Cyclopoida,0.86,Loewen.2016,Eucyclops agilis,4,"Eucyclops agilis (Koch, 1838)"
Eucyclops.elegans,Eucyclops elegans,Species,Cyclopoida,0.92,Hébert.2016; CIEE.2012,Eucyclops elegans,4,"Eucyclops elegans (Herrick, 1884)"
Homocyclops.ater,Homocyclops ater,Species,Cyclopoida,2.9,Marten & Reid.2007,Homocyclops Ater,4,"Homocyclops ater (Herrick, 1882)"
Leptodora.kindtii,Leptodora kindtii,Species,Cladocera/Haplopoda,8,Vijverberg.2005,Leptodora kindtii,4,"Leptodora kindtii (Focke, 1844)"
Macrocyclops,Macrocyclops,Genus,Cyclopoida,2.05,Genus mean ,Genus mean,4,"Macrocyclops (Claus, 1893)"
Macrocyclops.albidus,Macrocyclops albidus,Species,Cyclopoida,1.5,MacLennen.2015,Macrocyclops albidus,4,"Macrocyclops albidus (Jurine, 1820)"
Macrocyclops.fuscus,Macrocyclops fuscus,Species,Cyclopoida,2.6,Edmondson.1959,Macrocyclops fuscus,4,"Macrocyclops fuscus (Jurine, 1820)"
Megacyclops.viridis,Megacyclops viridis,Species,Cyclopoida,1.83,Hébert.2016; CIEE.2012,Megacyclops viridis,4,"Megacyclops viridis (Jurine, 1820)"
Microcyclops.varicans,Microcyclops varicans,Species,Cyclopoida,0.59,Reid.1992,Microcyclops varicans,4,"Microcyclops varicans (Sars, 1863)"
Orthocyclops.modestus,Orthocyclops modestus,Species,Cyclopoida,0.89,MacLennan.2015,Orthocyclops modestus,4,"Orthocyclops modestus (Herrick, 1883)"
Paracyclops.poppei,Paracyclops poppei,Species,Cyclopoida,0.8,Edmondson.1959,Paracyclops poppei,4,"Paracyclops poppei (Rehberg, 1880)"
Polyphemus.pediculus,Polyphemus pediculus,Species,Cladocera/Onychopoda,0.83,Hébert.2016; CIEE.2012,Polyphemus pediculus,4,"Polyphemus pediculus (Linnaeus, 1761)"
Tropocyclops.prasinus,Tropocyclops prasinus,Species,Cyclopoida,0.67,Hébert.2016; CIEE.2012,Tropocyclops prasinus,4,"Tropocyclops prasinus (Fischer, 1860)"
