ID,Lake,Elevation,Latitude,Longitude,Area,Depth,Sampling.events,Sampling.years
395,Indian Springs Pond (W50B),1358.397827,49.12569017,-113.8806301,1984.632737,1,1,1
396,Temporary Pond (W60),1297.880615,49.0684806,-113.8898343,718.249353,1.6,5,3
397,Waterton Lake (lower),1278.599365,49.05250448,-113.8807625,4352878.483,27.4,7,7
398,Twintree Lake,1559.6604,53.38217457,-119.0947652,3371362.357,51,1,1
4,Mosquito,57.450172,53.06281,-132.11806,6038662.773,62,1,1
40,Fulmore,32.137665,50.58277,-125.95347,8781098.822,23,1,1
400,Hidden Lake,1271.74353,52.87810479,-118.1607927,25333.17012,6,1,1
401,Summit Lake (north),1544.629272,52.89379611,-117.7658784,90143.9153,3,1,1
402,Trefoil Lake (2),1037.486328,52.89148954,-118.0509312,16983.50014,17,2,2
403,Honeymoon Lake (little),1396.102295,52.56027567,-117.6848968,8115.899966,4,5,3
404,OBeirne Lake 3,2097.757568,52.91386284,-118.6108965,76113.87759,23.5,2,1
405,Amber (4),2216.905273,52.81481688,-117.8876286,12226.14188,8.5,1,1
406,Henry Pond (west),2137.658203,52.93837386,-118.2773128,10660.05253,3.5,1,1
407,Leach Pond (1),1229.062378,52.68246266,-117.8998097,41275.79352,1.5,1,1
409,Dolly Lake,1593.676758,53.30578882,-118.6138613,62445.44233,5.5,2,1
41,Phillips,11.549212,50.59636,-125.34114,2959008.46,67.7,1,1
410,Kidney Lake,1400.78833,53.35358822,-118.3490727,614203.5041,12,4,1
411,Caribou Lake (lower),1800.873413,53.41679575,-118.940275,409569.3694,18,2,1
412,Sassenach Lake 2,1881.559448,53.22837699,-118.3768035,55622.46915,16,2,1
413,Caribou Lake (upper),1799.881836,53.40834359,-118.9590434,390625.1826,29,2,1
414,Topaz Lake,1800.85144,53.3889607,-118.8504457,1115394.182,28,4,1
415,Princess Lake,1269.758423,53.18908789,-118.0690599,325535.0016,4.5,1,1
416,Celestine Lake,1279.838745,53.18702042,-118.0467835,409128.2669,14,7,4
417,Caribou Lake,2218.573242,52.73997701,-117.7974698,24076.73238,9,1,1
418,High Lake One,1459.172852,52.88915966,-118.2070613,16443.93464,2.4,1,1
419,Talus Lake,2196.455078,52.65603916,-117.7002893,22122.56657,10,1,1
42,Sakinaw,5.514704,49.68085,-124.00899,6784347.78,140,1,1
420,Henry Pond (east),2147.493408,52.93646608,-118.2691024,19821.34945,4.5,1,1
421,Geraldine Lake 2,1706.275391,52.60705757,-117.9316824,1666.573013,4,1,1
422,Rocky (1),2123.646973,52.70479359,-117.4545709,38724.10515,5,1,1
423,Twin Lake (south),1040,52.86785952,-118.0705199,11637.81483,11.5,3,2
424,Ultramaligne Lake,2291.726074,52.59810465,-117.4959425,298277.0372,30,1,1
426,Moab Lake,1240.739014,52.66110362,-117.9558381,213436.6408,18,16,8
427,Branchinecta Pond,2281.239746,52.4836913,-117.4278434,4312.119163,2.5,1,1
428,Geraldine Lake (lower),1623.516479,52.61569196,-117.9289264,124711.4056,6,NA,2
429,Catacombs Lake,2097.233887,52.43642624,-117.7844467,142069.3916,15,1,1
43,Simpson,12.032981,53.61878,-129.54965,8902284.35,120.8,NA,1
430,Ouzel Lake (upper),2346.964844,52.50957246,-117.4776617,16009.02189,6,1,1
431,Amber (2),2271.516846,52.81355983,-117.8922174,17461.09657,2.2,1,1
432,Cairngorm Lake (north),2395.910645,52.93690655,-118.2140738,48801.67106,10,2,2
433,Mile 16 1/2 Lake,1182.720093,52.70923369,-117.910633,76870.08204,6,NA,3
434,Eagle Lake,2073.254639,53.13889343,-118.6286035,85498.53947,29,1,1
435,Lily Pond,1342.476074,52.87859579,-118.2263981,12428.65268,4,1,1
436,High Lake Three,1480.475098,52.89581677,-118.2198229,16362.58549,1,1,1
437,High Lake Five,1574.693848,52.90351076,-118.2399332,8925.639056,2,1,1
438,Summit Lake (south),1542.524658,52.88642152,-117.7551071,139996.5593,3,1,1
439,High Lake Two,1456.682129,52.89105381,-118.2135056,19443.67206,1.5,1,1
44,Lowe,6.527141,53.58066,-129.5442,3904227.395,54,12,1
440,Pika Lake (north),2280.943359,52.48951463,-117.4502862,30037.66588,9,1,1
441,Kerr Lake (north),2141.791992,52.93998093,-118.2376125,55928.66756,11.3,1,1
442,Long Lake,1360.690063,52.44300589,-117.6562853,51263.18725,3,NA,1
443,High Lake Six,1539.242432,52.89867032,-118.2505736,20354.48113,1.2,1,1
